"","plot_id","ts_index","break_dates","magnitude"
"147","p67879_4",107,1998-02-22,"-0.503180038026343"
"148","p67879_4",122,1998-11-05,"-0.0545507103168461"
"149","p67879_4",137,1999-06-08,"0.18649492292451"
"150","p67879_4",170,2000-08-06,"0.186778422716458"
"151","p67879_4",193,2001-06-13,"0.13883631309478"
"152","p67883_1",28,1995-12-15,"-0.153211324286133"
"153","p67883_1",45,1998-01-21,"-0.194013618951651"
"154","p67883_1",104,2002-11-24,"-0.0475463503366047"
"155","p67883_3",43,1998-01-21,"-0.0904284662593451"
"156","p67883_3",62,1999-06-01,"0.160597516354411"
"157","p67883_3",75,2000-05-26,"0.15508236867473"
"158","p67883_4",28,1995-12-15,"-0.142904389216021"
"159","p67883_4",45,1998-01-21,"-0.154120452008414"
"160","p67883_4",52,1998-08-01,"0.1969949016773"
"161","p67883_4",64,1999-06-01,"0.170309967968658"
"162","p68142_3",56,1995-07-15,"0.0800796106363535"
"163","p68142_3",74,1996-07-10,"0.17635320163248"
"164","p68142_3",115,1998-06-05,"0.123722620468911"
"165","p68142_3",132,1999-04-14,"0.115765795959485"
"166","p68142_3",239,2006-12-12,"-0.0429184477259668"
"167","p68397_3",29,1995-02-14,"-0.16293721987617"
"168","p68397_3",45,1996-07-10,"0.323989985928634"
"169","p68397_3",66,1997-07-04,"0.238462915458626"
"170","p68397_3",86,1998-06-30,"0.435470291154274"
"171","p68397_3",105,1999-08-04,"0.353502432932714"
"172","p68397_3",119,2000-05-18,"0.402746961523462"
"173","p68397_3",138,2001-06-30,"0.23453182441213"
"174","p68397_3",171,2005-07-11,"0.130123784821407"
"175","p68397_3",216,2011-01-08,"-0.0923187434685531"
"176","p68397_3",230,2011-05-25,"0.255373309581106"
"177","p68397_3",278,2015-08-15,"0.1710393261863"
"178","p68397_3",290,2016-06-23,"0.265263058625635"
"179","p68397_3",323,2019-01-23,"-0.151066028277171"
"180","p68399_1",41,1998-02-22,"-0.440918995921336"
"181","p68399_1",49,1999-01-08,"-0.0516481645073625"
"182","p68399_1",127,2010-01-22,"-0.0817635794740958"
"183","p68399_3",40,1998-02-22,"-0.491449211588495"
"184","p68399_3",46,1999-01-08,"-0.0955088073328483"
"185","p68399_3",85,2003-03-16,"-0.117041896619043"
"186","p68399_3",121,2010-01-14,"-0.0571604236792895"
"187","p68399_4",39,1998-02-22,"-0.344479442620013"
"188","p68399_4",70,2001-03-10,"-0.0852338292068637"
"189","p68399_4",123,2010-01-14,"-0.0741268464988938"
"190","p68400_1",45,1998-02-22,"-0.329255712850198"
"191","p68400_1",58,1999-02-09,"-0.0423159167990024"
"192","p68901_1",43,1998-03-26,"-0.0958983624369409"
"193","p68901_1",152,2015-12-30,"-0.0816212809753729"
"194","p68901_4",41,1998-03-26,"-0.102144836966454"
"195","p68901_4",74,2001-06-06,"0.0824738402328506"
"196","p69381_2",7,1993-05-31,"0.366810430203792"
"197","p69381_3",8,1993-07-18,"0.258039798508768"
"198","p69381_3",45,1998-01-05,"0.011478173871164"
"199","p69381_3",52,1998-06-14,"0.364847041283852"
"200","p69381_3",83,2001-02-22,"-0.144007690050223"
"201","p69381_3",91,2001-08-01,"0.113992489593091"
"202","p69381_3",181,2015-12-30,"-0.191483253013002"
"203","p69382_1",66,2000-02-12,"0.0673813791443267"
"204","p69382_1",73,2000-05-18,"0.382094956190727"
"205","p69612_1",41,1998-02-22,"-0.120366554271005"
"206","p69612_1",148,2012-07-30,"0.0500318224930716"
"207","p69612_3",47,1998-04-27,"-0.140837537137156"
"208","p69612_3",157,2012-07-30,"0.0843341055073688"
"209","p69613_1",20,1995-01-13,"-0.053999997683114"
"210","p69613_1",76,2001-04-11,"0.107551349087601"
"211","p69613_3",74,2000-09-23,"-0.204104887323196"
"212","p69613_3",83,2002-03-13,"0.0797496862474946"
"213","p69615_2",67,1999-03-13,"-0.282913710954009"
"214","p69615_2",79,2000-03-07,"-0.154758845546127"
"215","p69615_2",106,2001-12-23,"-0.179253581469439"
"216","p69615_2",127,2004-11-29,"-0.136360580060819"
"217","p69842_2",44,1998-01-21,"-0.206347220549887"
"218","p69842_2",51,1998-08-17,"-0.0207664659641829"
"219","p70076_1",34,1996-08-27,"0.138904796443792"
"220","p70076_1",42,1997-06-11,"0.282773665422811"
"221","p70076_1",158,2010-11-30,"0.0231861065095789"
"222","p70076_1",166,2011-05-09,"0.406549052590575"
"223","p70076_3",35,1997-03-23,"-0.310914829345457"
"224","p70076_3",43,1998-03-26,"-0.0462038104874729"
"225","p70076_3",152,2010-12-16,"-0.0649144078591384"
"226","p70076_3",160,2011-05-09,"0.308007984539312"
"227","p70304_1",87,2001-09-02,"0.0512438471782541"
"228","p70988_1",32,1996-01-16,"-0.346170963216126"
"229","p70988_1",42,1997-05-26,"0.0322599933812171"
"230","p70988_1",51,1998-05-29,"0.189548484998483"
"231","p70988_1",148,2012-10-02,"-0.415712589778316"
"232","p70988_1",159,2015-01-28,"-0.107940791298233"
"233","p70988_1",179,2018-03-09,"-0.183596329423196"
"234","p70988_3",148,2012-10-02,"-0.232953164603567"
"235","p70988_3",173,2017-01-17,"-0.0534587437681466"
"236","p70988_4",30,1996-01-16,"-0.421597394442952"
"237","p70988_4",37,1997-02-19,"-0.0531233519870504"
"238","p70988_4",148,2012-10-02,"-0.364756472491619"
"239","p70988_4",158,2015-01-28,"-0.110034880159311"
"240","p70988_4",180,2018-03-09,"-0.329481455315886"
"241","p71424_1",167,2013-02-23,"-0.0178545246803923"
"242","p71424_1",179,2014-12-11,"0.176356832679851"
"243","p71424_2",172,2013-12-08,"-0.159594162769675"
"244","p71424_3",174,2013-11-06,"-0.320653879315228"
"245","p71424_3",184,2015-01-28,"-0.187694432638352"
"246","p71424_3",192,2016-01-15,"-0.111426006544633"
"247","p71431_1",66,2002-11-24,"-0.118217531608771"
"248","p71431_1",101,2011-03-14,"0.165437017410365"
"249","p71637_1",88,2001-02-22,"-0.1789117313348"
"250","p71637_1",97,2001-09-02,"-0.044434004375475"
"251","p71637_1",167,2010-01-22,"-0.122629404428425"
"252","p71637_1",184,2011-05-25,"0.25519407778302"
"253","p71639_1",49,1997-02-19,"-0.144130181923295"
"254","p71639_1",218,2012-09-16,"-0.113014553472969"
"255","p71643_2",13,1994-01-26,"-0.144432583965436"
"256","p71643_2",89,2001-07-08,"0.0281814460894347"
"257","p71649_1",36,1998-04-27,"-0.18638211533723"
"258","p71649_1",47,1999-10-23,"-0.0496352344944455"
"259","p71649_1",122,2012-06-12,"-0.0992294822997195"
"260","p71649_1",138,2015-07-07,"-0.226164646051593"
"261","p71649_1",143,2016-06-23,"0.0172392072808378"
"262","p71856_3",65,1998-08-17,"-0.191144698007578"
"263","p71856_3",124,2002-11-24,"-0.0747880151347964"
"264","p71858_3",46,1998-03-26,"-0.0889753871691454"
"265","p71858_3",81,2001-06-06,"0.0590647606659447"
"266","p72066_1",68,1999-06-01,"0.0632728106124647"
"267","p72072_1",45,1998-03-26,"-0.113388720283361"
"268","p72072_1",52,1999-01-08,"0.103386365520427"
"269","p72072_2",22,1994-12-12,"-0.0461949936860859"
"270","p72072_2",46,1998-04-27,"-0.170772263338854"
"271","p72072_2",67,2000-12-12,"-0.0986844193905512"
"272","p72072_2",87,2003-12-13,"-0.0163787879966399"
"273","p72072_2",155,2015-01-28,"0.0214859206374314"
"274","p72072_2",166,2016-06-23,"0.143391077360036"
"275","p72285_4",65,2000-09-07,"-0.135666058634521"
"276","p72285_4",74,2001-05-21,"0.0317179678527659"
"277","p72496_1",202,2018-12-22,"-0.165424191471501"
"278","p72496_2",202,2018-12-22,"-0.165424191471501"
"279","p72496_3",176,2015-11-28,"0.0498600176409241"
"280","p72496_4",34,1996-05-07,"0.114443506363852"
"281","p72496_4",42,1997-04-24,"0.293961658963301"
"282","p72496_4",84,2001-05-21,"0.0760523022062792"
"283","p72496_4",208,2018-05-28,"-0.0837133453218755"
"284","p72497_1",39,1998-01-05,"0.00112185655718378"
"285","p72497_1",45,1998-06-30,"0.339963352015022"
"286","p72497_1",130,2011-01-17,"-0.0919141519233513"
"287","p72498_2",82,2001-01-29,"-0.100035769286279"
"288","p72498_2",93,2002-03-13,"-0.326409611968529"
"289","p72498_2",101,2002-11-24,"-0.0492124238330511"
"290","p72498_2",140,2009-01-27,"-0.24512047269155"
"291","p72498_2",153,2010-11-30,"-0.0763977045554309"
"292","p72708_1",13,1994-01-26,"-0.385708720141963"
"293","p72708_1",21,1994-12-28,"-0.101345145173553"
"294","p72708_1",88,2001-09-02,"0.0349297737160128"
"295","p72708_3",13,1994-01-26,"-0.402349558451732"
"296","p72708_3",20,1994-12-12,"-0.1065706533373"
"297","p72708_3",44,1997-08-14,"0.0712076684520184"
"298","p72708_3",51,1998-05-29,"0.227921555360174"
"299","p72708_3",83,2001-06-22,"0.0684543403762807"
"300","p72708_4",13,1994-01-26,"-0.371995810363671"
"301","p72708_4",21,1994-12-28,"-0.123204834463138"
"302","p72708_4",46,1998-01-21,"-0.113708850128042"
"303","p72708_4",94,2002-11-24,"-0.032819016421398"
"304","p72711_1",29,1996-01-16,"-0.238428718571958"
"305","p72711_1",35,1997-03-23,"-0.0502922164160893"
"306","p72711_1",60,2000-04-24,"-0.363566593658401"
"307","p72711_1",66,2000-10-25,"-0.00622351248729558"
"308","p72711_1",98,2005-03-21,"-0.0713188337987338"
"309","p72712_2",45,1998-10-04,"0.082540475843075"
"310","p72712_2",180,2017-12-03,"-0.19313019758064"
"311","p72923_1",50,1997-12-20,"0.025240199807893"
"312","p72923_1",57,1998-05-29,"0.257675596612911"
"313","p72923_1",86,2001-04-11,"0.0977162389379289"
"314","p72923_2",50,1998-02-22,"-0.439388422635686"
"315","p72923_2",57,1999-02-09,"-0.0813169682511798"
"316","p72923_2",83,2001-05-21,"0.113710265513293"
"317","p72923_3",7,1993-05-15,"0.195917681449089"
"318","p72923_3",49,1997-08-14,"0.0623541057912407"
"319","p72923_3",57,1998-05-29,"0.289869394648697"
"320","p72923_4",49,1997-08-14,"0.0511489187663496"
"321","p72923_4",58,1998-11-21,"0.191420482732465"
"322","p72923_4",87,2001-05-05,"0.0792477112889465"
"323","p72926_3",35,1997-12-20,"0.0665262989327431"
"324","p72926_3",43,1998-06-30,"0.311439689967187"
"325","p72926_3",51,1999-06-01,"0.210999727874905"
"326","p72926_3",88,2003-07-22,"0.0973759750030854"
"327","p72927_1",70,2001-06-14,"0.147520853213923"
"328","p72927_1",82,2004-09-26,"0.179864463166624"
"329","p72929_1",151,2002-09-05,"0.0780330794188315"
"330","p72929_1",208,2008-05-25,"0.0935850174702537"
"331","p72929_1",219,2009-07-06,"0.249055766224487"
"332","p72929_1",244,2011-05-09,"0.118102523711736"
"333","p72929_2",208,2009-03-09,"-0.256022824076335"
"334","p72929_2",221,2010-04-29,"-0.0862480814938209"
"335","p72929_2",271,2016-01-15,"-0.0548513008966438"
"336","p73136_1",44,1999-01-08,"-0.217377283854333"
"337","p73136_1",62,2000-05-10,"0.214865313320303"
"338","p73136_1",74,2001-05-21,"0.20487658323569"
"339","p73136_3",51,1999-01-08,"-0.27955248631701"
"340","p73136_3",68,2000-05-10,"0.272140788505737"
